,backtracks,backtracks,backtracks,backtracks,backtracks,backtracks,backtracks,backtracks,duration,duration,duration,duration,duration,duration,duration,duration
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
heuristic,,,,,,,,,,,,,,,,
DPLL,1003.0,1408.4396809571285,41197.878225977314,1.0,25.0,52.0,100.0,1304607.0,1003.0,3.2627430209371884,68.37294788777739,0.453125,0.78125,0.90625,1.15625,2166.03125
DPLL+JW-OS,1003.0,465.7098703888335,10456.232958251161,1.0,24.0,52.0,104.0,330617.0,1003.0,1.9921329760717847,25.572301799720403,0.421875,0.6875,0.828125,1.0625,806.421875
DPLL+JW-TS,1003.0,218.28414755732803,3619.5185192778276,1.0,24.0,55.0,97.0,114378.0,1003.0,1.3865746510468595,10.020362654202323,0.46875,0.71875,0.84375,1.0625,316.625
JW-OS,1003.0,4012.2183449651047,20442.2368902483,1.0,779.5,1426.0,2604.5,434643.0,1003.0,9.557156655034895,47.5703955043974,0.515625,2.328125,3.75,6.40625,1046.96875
JW-OS+MLV,1003.0,365.2233300099701,453.7459566626488,1.0,259.0,291.0,338.0,11129.0,1003.0,2.416484920239282,2.5801878807148846,0.46875,1.5,1.890625,2.4765625,49.53125
JW-TS,1003.0,2386.2522432701894,14160.956955847714,1.0,285.0,767.0,1780.5,304807.0,1003.0,6.396357801595214,34.805606715907366,0.484375,1.3359375,2.53125,5.046875,771.671875
JW-TS+MLV,1003.0,610.5962113659023,12546.424020893028,1.0,208.0,224.0,244.5,397550.0,1003.0,3.397510593220339,60.04878974034883,0.46875,1.140625,1.40625,1.703125,1903.109375
MLV,1003.0,142.37487537387835,1975.0988113048984,1.0,15.0,39.0,71.0,48376.0,1003.0,1.3458374875373877,7.230250390747002,0.453125,0.734375,0.890625,1.140625,186.0
Random+MLV,1003.0,407.19441674975076,10538.384028456465,1.0,22.0,52.0,97.0,333813.0,1003.0,2.492351071784646,47.55796064344621,0.40625,0.71875,0.84375,1.0625,1507.046875
