,compared_heuristics,pvalue,statistic
0,JW-OS&JW-TS,3.486547310030952e-24,158655.5
1,JW-OS&DPLL,1.347896217827925e-162,2265.0
2,JW-OS&DPLL+JW-OS,3.8782550945744634e-153,9710.5
3,JW-OS&DPLL+JW-TS,1.7261087496002995e-155,7975.5
4,JW-OS&MLV,1.0585638589810369e-160,3608.0
5,JW-OS&JW-OS+MLV,7.839909432029916e-93,63547.0
6,JW-OS&JW-TS+MLV,2.6413757968532938e-148,13314.0
7,JW-OS&Random+MLV,7.32954776546232e-160,4132.0
8,JW-TS&JW-OS,3.486547310030952e-24,158655.5
9,JW-TS&DPLL,2.5292564462505405e-143,16632.0
10,JW-TS&DPLL+JW-OS,1.5691485162834214e-126,30968.5
11,JW-TS&DPLL+JW-TS,6.237282886326639e-129,29390.0
12,JW-TS&MLV,1.359575440358677e-129,29153.5
13,JW-TS&JW-OS+MLV,2.659033115343726e-26,152961.5
14,JW-TS&JW-TS+MLV,5.7080874919065596e-83,73727.5
15,JW-TS&Random+MLV,3.6441465438208427e-134,24408.0
16,DPLL&JW-OS,1.347896217827925e-162,2265.0
17,DPLL&JW-TS,2.5292564462505405e-143,16632.0
18,DPLL&DPLL+JW-OS,8.675489200618777e-11,186482.0
19,DPLL&DPLL+JW-TS,5.758228131510749e-08,195185.5
20,DPLL&MLV,0.04568252418191191,227759.5
21,DPLL&JW-OS+MLV,1.7773911050055773e-141,18911.0
22,DPLL&JW-TS+MLV,5.067549159186229e-78,77972.5
23,DPLL&Random+MLV,5.557601307442978e-08,193035.5
24,DPLL+JW-OS&JW-OS,3.8782550945744634e-153,9710.5
25,DPLL+JW-OS&JW-TS,1.5691485162834214e-126,30968.5
26,DPLL+JW-OS&DPLL,8.675489200618777e-11,186482.0
27,DPLL+JW-OS&DPLL+JW-TS,0.14336305465278665,229262.5
28,DPLL+JW-OS&MLV,5.13510675886983e-07,195847.0
29,DPLL+JW-OS&JW-OS+MLV,7.34401915407225e-151,11397.0
30,DPLL+JW-OS&JW-TS+MLV,2.6543906068004917e-98,56750.0
31,DPLL+JW-OS&Random+MLV,0.1628138916820645,226095.5
32,DPLL+JW-TS&JW-OS,1.7261087496002995e-155,7975.5
33,DPLL+JW-TS&JW-TS,6.237282886326639e-129,29390.0
34,DPLL+JW-TS&DPLL,5.758228131510749e-08,195185.5
35,DPLL+JW-TS&DPLL+JW-OS,0.14336305465278665,229262.5
36,DPLL+JW-TS&MLV,0.0004242939478385736,209111.5
37,DPLL+JW-TS&JW-OS+MLV,1.785210217384794e-154,8646.5
38,DPLL+JW-TS&JW-TS+MLV,2.0620187151265363e-97,56790.0
39,DPLL+JW-TS&Random+MLV,0.7414996001503524,233551.5
40,MLV&JW-OS,1.0585638589810369e-160,3608.0
41,MLV&JW-TS,1.359575440358677e-129,29153.5
42,MLV&DPLL,0.04568252418191191,227759.5
43,MLV&DPLL+JW-OS,5.13510675886983e-07,195847.0
44,MLV&DPLL+JW-TS,0.0004242939478385736,209111.5
45,MLV&JW-OS+MLV,4.3135338857177163e-159,5000.0
46,MLV&JW-TS+MLV,1.4688971550519652e-104,51267.5
47,MLV&Random+MLV,3.9583683342859915e-05,202622.0
48,JW-OS+MLV&JW-OS,7.839909432029916e-93,63547.0
49,JW-OS+MLV&JW-TS,2.659033115343726e-26,152961.5
50,JW-OS+MLV&DPLL,1.7773911050055773e-141,18911.0
51,JW-OS+MLV&DPLL+JW-OS,7.34401915407225e-151,11397.0
52,JW-OS+MLV&DPLL+JW-TS,1.785210217384794e-154,8646.5
53,JW-OS+MLV&MLV,4.3135338857177163e-159,5000.0
54,JW-OS+MLV&JW-TS+MLV,1.0329018415535454e-101,54643.0
55,JW-OS+MLV&Random+MLV,3.198678736357877e-160,4247.5
56,JW-TS+MLV&JW-OS,2.6413757968532938e-148,13314.0
57,JW-TS+MLV&JW-TS,5.7080874919065596e-83,73727.5
58,JW-TS+MLV&DPLL,5.067549159186229e-78,77972.5
59,JW-TS+MLV&DPLL+JW-OS,2.6543906068004917e-98,56750.0
60,JW-TS+MLV&DPLL+JW-TS,2.0620187151265363e-97,56790.0
61,JW-TS+MLV&MLV,1.4688971550519652e-104,51267.5
62,JW-TS+MLV&JW-OS+MLV,1.0329018415535454e-101,54643.0
63,JW-TS+MLV&Random+MLV,8.735991928016333e-116,40002.0
64,Random+MLV&JW-OS,7.32954776546232e-160,4132.0
65,Random+MLV&JW-TS,3.6441465438208427e-134,24408.0
66,Random+MLV&DPLL,5.557601307442978e-08,193035.5
67,Random+MLV&DPLL+JW-OS,0.1628138916820645,226095.5
68,Random+MLV&DPLL+JW-TS,0.7414996001503524,233551.5
69,Random+MLV&MLV,3.9583683342859915e-05,202622.0
70,Random+MLV&JW-OS+MLV,3.198678736357877e-160,4247.5
71,Random+MLV&JW-TS+MLV,8.735991928016333e-116,40002.0
